date,sales,day_name,month,quarter,is_weekend,is_special_day,ma_7,ma_30,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_30,rolling_mean_7,rolling_std_7,day_of_week,day_of_month,day_of_year,week_of_year
2023-02-11,1238.12,Saturday,2,1,1,0,1185.3942857142858,1184.7020000000002,1093.84,1246.65,1198.68,978.48,1167.6271428571429,61.35864995100178,5,11,42,6
2023-02-12,1305.24,Sunday,2,1,1,0,1193.0228571428572,1196.7469999999998,1238.12,1226.2,1231.8,963.82,1178.9185714285716,78.74362184299396,6,12,43,6
2023-02-13,1227.39,Monday,2,1,0,0,1191.5714285714287,1199.0549999999998,1305.24,1229.37,1179.15,1029.41,1178.6357142857144,78.53547029997434,0,13,44,7
2023-02-14,1191.04,Tuesday,2,1,0,0,1197.0528571428572,1202.056,1227.39,1143.73,1186.65,1121.05,1185.3942857142858,77.05261186512858,1,14,45,7
2023-02-15,1178.03,Wednesday,2,1,0,0,1201.447142857143,1206.1666666666667,1191.04,1124.63,1258.91,1111.38,1193.0228571428572,72.54561615845293,2,15,46,7
2023-02-16,1107.34,Thursday,2,1,0,0,1192.8028571428572,1204.7926666666667,1178.03,1117.5,1082.47,1112.17,1191.5714285714287,74.38671710024879,3,16,47,7
2023-02-17,1132.21,Friday,2,1,0,0,1200.3500000000001,1199.7763333333335,1107.34,1093.84,979.76,1128.4,1197.0528571428572,67.03522300857651,4,17,48,7
2023-02-18,1268.88,Saturday,2,1,1,0,1211.1985714285713,1204.8296666666668,1132.21,1238.12,1246.65,984.48,1201.447142857143,71.06310193864977,5,18,49,7
2023-02-19,1244.73,Sunday,2,1,1,0,1214.5,1215.8403333333333,1268.88,1305.24,1226.2,909.12,1192.8028571428572,58.987526284316424,6,19,50,7
2023-02-20,1280.22,Monday,2,1,0,0,1225.1100000000001,1218.9843333333333,1244.73,1227.39,1229.37,1226.26,1200.3500000000001,66.98748689121025,0,20,51,8
2023-02-21,1266.98,Tuesday,2,1,0,0,1227.8285714285716,1224.4336666666668,1280.22,1191.04,1143.73,1223.78,1211.1985714285713,71.24252087729946,1,21,52,8
2023-02-22,1201.14,Wednesday,2,1,0,0,1234.8857142857144,1225.6656666666668,1266.98,1178.03,1124.63,1170.52,1214.5,69.97345377593848,2,22,53,8
2023-02-23,1181.61,Thursday,2,1,0,0,1244.2985714285714,1228.7226666666668,1201.14,1107.34,1117.5,1119.09,1225.1100000000001,55.05782899219151,3,23,54,8
2023-02-24,1151.24,Friday,2,1,0,0,1242.5414285714287,1229.6116666666667,1181.61,1132.21,1093.84,1112.85,1227.8285714285716,49.937994362533786,4,24,55,8
2023-02-25,1318.28,Saturday,2,1,1,0,1250.3771428571429,1234.7706666666666,1151.24,1268.88,1238.12,1062.67,1234.8857142857144,59.31615571302226,5,25,56,8
2023-02-26,1310.62,Sunday,2,1,1,0,1264.8528571428571,1245.0666666666666,1318.28,1244.73,1305.24,949.27,1244.2985714285714,65.99115709158151,6,26,57,8
2023-02-27,1267.92,Monday,2,1,0,0,1259.6842857142858,1250.1836666666668,1310.62,1280.22,1227.39,1198.68,1242.5414285714287,65.03205220724462,0,27,58,9
2023-02-28,1321.83,Tuesday,2,1,0,0,1253.567142857143,1251.145,1267.92,1266.98,1191.04,1231.8,1250.3771428571429,71.45470796578951,1,28,59,9
2023-03-01,1302.47,Wednesday,3,1,0,0,1241.537142857143,1255.6246666666666,1321.83,1201.14,1178.03,1179.15,1264.8528571428571,70.06805875106669,2,1,60,9
2023-03-02,1145.43,Thursday,3,1,0,0,1241.4600000000003,1251.507,1302.47,1181.61,1107.34,1186.65,1259.6842857142858,78.1053175435034,3,2,61,9
2023-03-03,1108.42,Friday,3,1,0,0,1251.8957142857143,1251.8110000000001,1145.43,1151.24,1132.21,1258.91,1253.567142857143,88.93951947143404,4,3,62,9
2023-03-04,1234.07,Saturday,3,1,1,0,1261.5885714285716,1258.944,1108.42,1318.28,1268.88,1082.47,1241.537142857143,84.3018061716924,5,4,63,9
2023-03-05,1310.08,Sunday,3,1,1,0,1256.4257142857143,1267.2623333333331,1234.07,1310.62,1244.73,979.76,1241.4600000000003,84.22826880962673,6,5,64,9
2023-03-06,1340.97,Monday,3,1,0,0,1269.2842857142857,1269.3319999999999,1310.08,1267.92,1280.22,1246.65,1251.8957142857143,92.20103684470237,0,6,65,10
2023-03-07,1389.68,Tuesday,3,1,0,0,1275.4099999999999,1269.4326666666666,1340.97,1321.83,1266.98,1226.2,1261.5885714285716,103.63576593508853,1,7,66,10
2023-03-08,1266.33,Wednesday,3,1,0,0,1280.8671428571429,1269.5393333333334,1389.68,1302.47,1201.14,1229.37,1256.4257142857143,102.14926673862212,2,8,67,10
2023-03-09,1235.44,Thursday,3,1,0,0,1294.1014285714286,1268.2003333333334,1266.33,1145.43,1181.61,1143.73,1269.2842857142857,90.89351624421938,3,9,68,10
2023-03-10,1151.3,Friday,3,1,0,0,1301.3385714285716,1269.1626666666668,1235.44,1108.42,1151.24,1124.63,1275.4099999999999,78.89876467136068,4,10,69,10
2023-03-11,1272.27,Saturday,3,1,1,0,1293.3957142857143,1273.1326666666669,1151.3,1234.07,1318.28,1117.5,1280.8671428571429,76.85754305082624,5,11,70,10
2023-03-12,1402.72,Sunday,3,1,1,0,1307.0314285714285,1280.275666666667,1272.27,1310.08,1310.62,1093.84,1294.1014285714286,89.63927253694364,6,12,71,10
2023-03-13,1391.63,Monday,3,1,0,0,1283.0414285714287,1280.0043333333333,1402.72,1340.97,1267.92,1238.12,1301.3385714285716,95.88162900656441,0,13,72,11
2023-03-14,1334.08,Tuesday,3,1,0,0,1288.162857142857,1283.028,1391.63,1389.68,1321.83,1305.24,1293.3957142857143,89.4295728226305,1,14,73,11
2023-03-15,1361.78,Wednesday,3,1,0,0,1295.1714285714284,1284.726,1334.08,1266.33,1302.47,1227.39,1307.0314285714285,91.85878626612579,2,15,74,11
2023-03-16,1067.51,Thursday,3,1,0,0,1292.1771428571428,1280.334,1361.78,1235.44,1145.43,1191.04,1283.0414285714287,128.35157516610045,3,16,75,11
2023-03-17,1187.15,Friday,3,1,0,0,1283.5114285714285,1276.5506666666665,1067.51,1151.3,1108.42,1178.03,1288.162857142857,122.81457564343197,4,17,76,11
2023-03-18,1321.33,Saturday,3,1,1,0,1271.1785714285713,1282.9783333333332,1187.15,1272.27,1234.07,1107.34,1295.1714285714284,123.15583345617773,5,18,77,11
2023-03-19,1381.76,Sunday,3,1,1,0,1259.9842857142855,1294.7230000000002,1321.33,1402.72,1310.08,1132.21,1292.1771428571428,120.32752604375109,6,19,78,11
2023-03-20,1330.97,Monday,3,1,0,0,1282.7414285714287,1297.1233333333334,1381.76,1391.63,1340.97,1268.88,1283.5114285714285,113.98876690688631,0,20,79,12
2023-03-21,1247.75,Tuesday,3,1,0,0,1288.8642857142856,1298.2779999999998,1330.97,1334.08,1389.68,1244.73,1271.1785714285713,112.26281492233217,1,21,80,12
2023-03-22,1283.42,Wednesday,3,1,0,0,1285.9185714285716,1296.5106666666666,1247.75,1361.78,1266.33,1280.22,1259.9842857142855,105.4211294218172,2,22,81,12
2023-03-23,1226.81,Thursday,3,1,0,0,1283.6,1288.4579999999999,1283.42,1067.51,1235.44,1266.98,1282.7414285714287,67.2193633879836,3,23,82,12
2023-03-24,1230.01,Friday,3,1,0,0,1280.6242857142859,1285.6609999999998,1226.81,1187.15,1151.3,1201.14,1288.8642857142856,58.43958928019743,4,24,83,12
2023-03-25,1300.71,Saturday,3,1,1,0,1302.564285714286,1289.4913333333336,1230.01,1321.33,1272.27,1181.61,1285.9185714285716,57.033135523300174,5,25,84,12
2023-03-26,1365.53,Sunday,3,1,1,0,1307.6271428571429,1298.3166666666666,1300.71,1381.76,1402.72,1151.24,1283.6,52.648901539665694,6,26,85,12
2023-03-27,1310.14,Monday,3,1,0,0,1302.3785714285714,1300.325,1365.53,1330.97,1391.63,1318.28,1280.6242857142859,50.04982779096095,0,27,86,13
2023-03-28,1401.33,Tuesday,3,1,0,0,1296.515714285714,1296.6673333333335,1310.14,1247.75,1334.08,1310.62,1302.564285714286,64.74246052814298,1,28,87,13
2023-03-29,1318.86,Wednesday,3,1,0,0,1301.8799999999999,1293.2383333333332,1401.33,1283.42,1361.78,1267.92,1307.6271428571429,64.380556255826,2,29,88,13
2023-03-30,1190.07,Thursday,3,1,0,0,1315.4842857142855,1288.968,1318.86,1226.81,1067.51,1321.83,1302.3785714285714,72.98923994411165,3,30,89,13
2023-03-31,1188.97,Friday,3,1,0,0,1314.9042857142856,1281.205666666667,1190.07,1230.01,1187.15,1302.47,1296.515714285714,80.98174400384832,4,31,90,13
2023-04-01,1338.26,Saturday,4,2,1,0,1306.817142857143,1289.9633333333334,1188.97,1300.71,1321.33,1145.43,1301.8799999999999,82.53466100170718,5,1,91,13
2023-04-02,1460.76,Sunday,4,2,1,0,1302.4014285714286,1298.2783333333332,1338.26,1365.53,1381.76,1108.42,1315.4842857142855,100.63781377745053,6,2,92,13
2023-04-03,1306.08,Monday,4,2,0,0,1296.4057142857143,1302.1923333333332,1460.76,1310.14,1330.97,1234.07,1314.9042857142856,100.68543569903649,0,3,93,14
2023-04-04,1344.72,Tuesday,4,2,0,0,1295.4699999999998,1301.8760000000002,1306.08,1401.33,1247.75,1310.08,1306.817142857143,94.6811327059211,1,4,94,14
2023-04-05,1287.95,Wednesday,4,2,0,0,1297.1971428571428,1301.5786666666668,1344.72,1318.86,1283.42,1340.97,1302.4014285714286,94.74663607547818,2,5,95,14
2023-04-06,1148.1,Thursday,4,2,0,0,1290.8114285714287,1300.599,1287.95,1190.07,1226.81,1389.68,1296.4057142857143,103.92344231165951,3,6,96,14
2023-04-07,1182.42,Friday,4,2,0,0,1294.5885714285716,1293.5406666666665,1148.1,1188.97,1230.01,1266.33,1295.4699999999998,105.07511011969832,4,7,97,14
2023-04-08,1350.35,Saturday,4,2,1,0,1287.1985714285713,1297.1523333333332,1182.42,1338.26,1300.71,1235.44,1297.1971428571428,105.9910544518243,5,8,98,14
2023-04-09,1416.06,Sunday,4,2,1,0,1287.314285714286,1303.3916666666667,1350.35,1460.76,1365.53,1151.3,1290.8114285714287,95.30193324876699,6,9,99,14
2023-04-10,1332.52,Monday,4,2,0,0,1295.5814285714284,1308.8673333333331,1416.06,1306.08,1310.14,1272.27,1294.5885714285716,96.5240547615935,0,10,100,15
2023-04-11,1292.99,Tuesday,4,2,0,0,1287.9371428571428,1308.3803333333333,1332.52,1344.72,1401.33,1402.72,1287.1985714285713,93.99332377507338,1,11,101,15
2023-04-12,1288.76,Wednesday,4,2,0,0,1285.064285714286,1308.7376666666667,1292.99,1287.95,1318.86,1391.63,1287.314285714286,93.99490160945693,2,12,102,15
2023-04-13,1205.97,Thursday,4,2,0,0,1287.9985714285715,1302.5786666666668,1288.76,1148.1,1190.07,1334.08,1295.5814285714284,81.41263731317,3,13,103,15
2023-04-14,1128.91,Friday,4,2,0,0,1303.1742857142858,1295.45,1205.97,1182.42,1188.97,1361.78,1287.9371428571428,95.16031695937953,4,14,104,15
2023-04-15,1330.24,Saturday,4,2,1,0,1314.5,1302.0833333333333,1128.91,1350.35,1338.26,1067.51,1285.064285714286,93.24636665971576,5,15,105,15
2023-04-16,1436.6,Sunday,4,2,1,0,1319.2557142857145,1310.679,1330.24,1416.06,1460.76,1187.15,1287.9985714285715,98.24479179216455,6,16,106,15
2023-04-17,1438.75,Monday,4,2,0,0,1321.0257142857142,1311.9389999999999,1436.6,1332.52,1306.08,1321.33,1303.1742857142858,113.31663173855577,0,17,107,16
2023-04-18,1372.27,Tuesday,4,2,0,0,1312.8485714285714,1306.893,1438.75,1292.99,1344.72,1381.76,1314.5,116.05785166602628,1,18,108,16
2023-04-19,1322.05,Wednesday,4,2,0,0,1313.5514285714287,1309.019,1372.27,1288.76,1287.95,1330.97,1319.2557142857145,115.50807098166251,2,19,109,16
2023-04-20,1218.36,Thursday,4,2,0,0,1310.7785714285715,1302.2543333333335,1322.05,1205.97,1148.1,1247.75,1321.0257142857142,113.56132599571382,3,20,110,16
2023-04-21,1071.67,Friday,4,2,0,0,1314.5257142857142,1298.8556666666666,1218.36,1128.91,1182.42,1283.42,1312.8485714285714,130.4982844623602,4,21,111,16
2023-04-22,1335.16,Saturday,4,2,1,0,1311.4757142857143,1308.3956666666668,1071.67,1330.24,1350.35,1226.81,1313.5514285714287,130.62075733825418,5,22,112,16
2023-04-23,1417.19,Sunday,4,2,1,0,1311.3057142857142,1314.0553333333335,1335.16,1436.6,1416.06,1230.01,1310.7785714285715,127.74771680002384,6,23,113,16
2023-04-24,1464.98,Monday,4,2,0,0,1311.0485714285714,1312.388,1417.19,1438.75,1332.52,1300.71,1314.5257142857142,132.42606828681733,0,24,114,17
2023-04-25,1350.92,Tuesday,4,2,0,0,1315.81,1310.24,1464.98,1372.27,1292.99,1365.53,1311.4757142857143,131.11382165344537,1,25,115,17
2023-04-26,1320.86,Wednesday,4,2,0,0,1323.5114285714285,1308.0223333333333,1350.92,1322.05,1288.76,1310.14,1311.3057142857142,131.09859671981548,2,26,116,17
2023-04-27,1216.56,Thursday,4,2,0,0,1327.7471428571428,1302.437333333333,1320.86,1218.36,1205.97,1401.33,1311.0485714285714,131.3128795953356,3,27,117,17
2023-04-28,1105.0,Friday,4,2,0,0,1315.0442857142857,1297.8396666666667,1216.56,1071.67,1128.91,1318.86,1315.81,121.41776984170558,4,28,118,17
2023-04-29,1389.07,Saturday,4,2,1,0,1309.1100000000001,1299.7103333333332,1105.0,1335.16,1330.24,1190.07,1323.5114285714285,124.51979098769438,5,29,119,17
2023-04-30,1446.84,Sunday,4,2,1,0,1316.1100000000001,1309.264,1389.07,1417.19,1436.6,1188.97,1327.7471428571428,128.67254494961063,6,30,120,17
2023-05-01,1376.06,Monday,5,2,0,0,1305.4271428571428,1307.3376666666666,1446.84,1464.98,1438.75,1338.26,1315.0442857142857,116.69867178009412,0,1,121,18
2023-05-02,1309.38,Tuesday,5,2,0,0,1316.9971428571428,1306.5703333333333,1376.06,1350.92,1372.27,1460.76,1309.1100000000001,115.62149958665432,1,2,122,18
2023-05-03,1369.86,Wednesday,5,2,0,0,1323.4585714285713,1299.983,1309.38,1320.86,1322.05,1306.08,1316.1100000000001,117.91203430241276,2,3,123,18
2023-05-04,1141.78,Thursday,5,2,0,0,1309.94,1293.4303333333332,1369.86,1216.56,1218.36,1344.72,1305.4271428571428,131.0860845289953,3,4,124,18
2023-05-05,1185.99,Friday,5,2,0,0,1299.1214285714286,1288.5816666666665,1141.78,1105.0,1071.67,1287.95,1316.9971428571428,112.73753186262427,4,5,125,18
2023-05-06,1434.3,Saturday,5,2,1,0,1305.1557142857143,1289.3653333333334,1185.99,1389.07,1335.16,1148.1,1323.4585714285713,118.69549253286358,5,6,126,18
2023-05-07,1352.21,Sunday,5,2,1,0,1290.3171428571427,1300.0136666666667,1434.3,1446.84,1417.19,1182.42,1309.94,107.12619116412839,6,7,127,18
2023-05-08,1300.33,Monday,5,2,0,0,1287.982857142857,1301.2216666666668,1352.21,1376.06,1464.98,1350.35,1299.1214285714286,103.0835682716654,0,8,128,19
2023-05-09,1351.62,Tuesday,5,2,0,0,1282.9599999999998,1295.417,1300.33,1309.38,1350.92,1416.06,1305.1557142857143,105.00262359534078,1,9,129,19
2023-05-10,1265.99,Wednesday,5,2,0,0,1258.3585714285714,1289.137,1351.62,1369.86,1320.86,1332.52,1290.3171428571427,101.61966012445417,2,10,130,19
2023-05-11,1125.44,Thursday,5,2,0,0,1267.402857142857,1283.825,1265.99,1141.78,1216.56,1292.99,1287.982857142857,105.70586481904829,3,11,131,19
2023-05-12,1150.83,Friday,5,2,0,0,1263.4199999999998,1278.5133333333333,1125.44,1185.99,1105.0,1288.76,1282.9599999999998,112.00754349596306,4,12,132,19
2023-05-13,1262.09,Saturday,5,2,1,0,1272.2714285714285,1278.888,1150.83,1434.3,1389.07,1205.97,1258.3585714285714,89.97155854834963,5,13,133,19
2023-05-14,1415.52,Sunday,5,2,1,0,1268.7199999999998,1285.378,1262.09,1352.21,1446.84,1128.91,1267.402857142857,103.18940380263331,6,14,134,19
2023-05-15,1272.45,Monday,5,2,0,0,1275.8985714285716,1283.0043333333333,1415.52,1300.33,1376.06,1330.24,1263.4199999999998,102.2403648272054,0,15,135,20
2023-05-16,1413.58,Tuesday,5,2,0,0,1279.5785714285714,1278.901,1272.45,1351.62,1309.38,1436.6,1272.2714285714285,113.23935143882525,1,16,136,20
2023-05-17,1241.13,Wednesday,5,2,0,0,1276.69,1275.2023333333334,1413.58,1265.99,1369.86,1438.75,1268.7199999999998,113.85732885209187,2,17,137,20
2023-05-18,1175.69,Thursday,5,2,0,0,1273.2042857142858,1270.919,1241.13,1125.44,1141.78,1372.27,1275.8985714285716,104.51925443486051,3,18,138,20
2023-05-19,1176.59,Friday,5,2,0,0,1287.34,1261.0293333333332,1175.69,1150.83,1185.99,1322.05,1279.5785714285714,99.72536896038929,4,19,139,20
2023-05-20,1241.87,Saturday,5,2,1,0,1262.9785714285715,1265.8296666666668,1176.59,1262.09,1434.3,1218.36,1276.69,100.60531347796726,5,20,140,20
2023-05-21,1391.12,Sunday,5,2,1,0,1268.042857142857,1271.786,1241.87,1415.52,1352.21,1071.67,1273.2042857142858,95.27502223513157,6,21,141,20
2023-05-22,1371.4,Monday,5,2,0,0,1270.31,1265.3139999999999,1391.12,1272.45,1300.33,1335.16,1287.34,102.23101258098447,0,22,142,21
2023-05-23,1243.05,Tuesday,5,2,0,0,1268.1557142857143,1266.4423333333332,1371.4,1413.58,1351.62,1417.19,1262.9785714285715,86.1953127937888,1,23,143,21
2023-05-24,1276.58,Wednesday,5,2,0,0,1266.1457142857143,1265.0963333333334,1243.05,1241.13,1265.99,1464.98,1268.042857142857,85.73787722165882,2,24,144,21
2023-05-25,1191.56,Thursday,5,2,0,0,1253.0857142857144,1256.2916666666667,1276.58,1175.69,1125.44,1350.92,1270.31,83.05670673301097,3,25,145,21
2023-05-26,1161.51,Friday,5,2,0,0,1245.4371428571428,1251.5353333333335,1191.56,1176.59,1150.83,1320.86,1268.1557142857143,86.03489037538675,4,26,146,21
2023-05-27,1227.8,Saturday,5,2,1,0,1256.9642857142858,1254.306,1161.51,1241.87,1262.09,1216.56,1266.1457142857143,86.91123668378452,5,27,147,21
2023-05-28,1299.7,Sunday,5,2,1,0,1255.3242857142857,1261.6889999999999,1227.8,1391.12,1415.52,1105.0,1253.0857142857144,70.27891003165979,6,28,148,21
2023-05-29,1317.86,Monday,5,2,0,0,1253.7985714285714,1263.5043333333335,1299.7,1371.4,1272.45,1389.07,1245.4371428571428,56.89564210443724,0,29,149,22
2023-05-30,1323.74,Tuesday,5,2,0,0,1241.1785714285713,1257.4653333333333,1317.86,1243.05,1413.58,1446.84,1256.9642857142858,64.05492223010503,1,30,150,22
2023-05-31,1265.1,Wednesday,5,2,0,0,1249.462857142857,1257.2793333333334,1323.74,1276.58,1241.13,1376.06,1255.3242857142857,63.614443815102256,2,31,151,22
2023-06-01,1180.88,Thursday,6,2,0,0,1258.7457142857143,1248.4926666666665,1265.1,1191.56,1175.69,1309.38,1253.7985714285714,65.49880111589125,3,1,152,22
2023-06-02,1073.17,Friday,6,2,0,0,1247.642857142857,1244.246,1180.88,1161.51,1176.59,1369.86,1241.1785714285713,90.12510497979486,4,2,153,22
2023-06-03,1285.79,Saturday,6,2,1,0,1256.5457142857142,1249.5279999999998,1073.17,1227.8,1241.87,1141.78,1249.462857142857,91.34731791616109,5,3,154,22
2023-06-04,1364.68,Sunday,6,2,1,0,1255.81,1253.728,1285.79,1299.7,1391.12,1185.99,1258.7457142857143,100.17818655727802,6,4,155,22
2023-06-05,1240.14,Monday,6,2,0,0,1242.467142857143,1252.4223333333332,1364.68,1317.86,1371.4,1434.3,1247.642857142857,96.78392957412682,0,5,156,23
2023-06-06,1386.06,Tuesday,6,2,0,0,1249.6285714285716,1246.47,1240.14,1323.74,1243.05,1352.21,1256.5457142857142,107.25085731703093,1,6,157,23
2023-06-07,1259.95,Wednesday,6,2,0,0,1238.5957142857144,1239.4049999999997,1386.06,1265.1,1276.58,1300.33,1255.81,107.200048818397,2,7,158,23
2023-06-08,1087.48,Thursday,6,2,0,0,1239.6871428571428,1234.8673333333334,1259.95,1180.88,1191.56,1351.62,1242.467142857143,122.76356947594915,3,8,159,23
2023-06-09,1123.3,Friday,6,2,0,0,1250.6028571428571,1228.0153333333333,1087.48,1073.17,1161.51,1265.99,1249.6285714285716,112.25391372962936,4,9,160,23
2023-06-10,1208.56,Saturday,6,2,1,0,1228.93,1229.443,1123.3,1285.79,1227.8,1125.44,1238.5957142857144,111.90215813485501,5,10,161,23
2023-06-11,1372.32,Sunday,6,2,1,0,1229.9185714285716,1235.3053333333332,1208.56,1364.68,1299.7,1150.83,1239.6871428571428,113.3645718782674,6,11,162,23
2023-06-12,1316.55,Monday,6,2,0,0,1238.847142857143,1235.1163333333332,1372.32,1240.14,1317.86,1262.09,1250.6028571428571,117.03473910400653,0,12,163,24
2023-06-13,1234.35,Tuesday,6,2,0,0,1237.48,1235.4836666666667,1316.55,1386.06,1323.74,1415.52,1228.93,100.67299339942157,1,13,164,24
2023-06-14,1266.87,Wednesday,6,2,0,0,1255.4214285714286,1230.4873333333335,1234.35,1259.95,1265.1,1272.45,1229.9185714285716,101.06159168688019,2,14,165,24
2023-06-15,1149.98,Thursday,6,2,0,0,1245.4599999999998,1227.2856666666667,1266.87,1087.48,1180.88,1413.58,1238.847142857143,88.34031237479401,3,15,166,24
2023-06-16,1113.73,Friday,6,2,0,0,1229.1957142857143,1220.6526666666666,1149.98,1123.3,1073.17,1241.13,1237.48,90.47480164848844,4,16,167,24
2023-06-17,1334.15,Saturday,6,2,1,0,1226.0814285714284,1219.9073333333333,1113.73,1208.56,1285.79,1175.69,1255.4214285714286,96.06386494212623,5,17,168,24
2023-06-18,1302.59,Sunday,6,2,1,0,1210.7357142857143,1224.9103333333333,1334.15,1372.32,1364.68,1176.59,1245.4599999999998,84.88677223219179,6,18,169,24
2023-06-19,1202.7,Monday,6,2,0,0,1204.5842857142857,1222.9293333333333,1302.59,1316.55,1240.14,1241.87,1229.1957142857143,79.74702206710552,0,19,170,25
2023-06-20,1212.55,Tuesday,6,2,0,0,1198.4828571428573,1217.694,1202.7,1234.35,1386.06,1391.12,1226.0814285714284,79.93762869232714,1,20,171,25
2023-06-21,1159.45,Wednesday,6,2,0,0,1184.2314285714288,1216.2769999999998,1212.55,1266.87,1259.95,1371.4,1210.7357142857143,81.10461348512419,2,21,172,25
2023-06-22,1106.92,Thursday,6,2,0,0,1189.2014285714286,1206.6106666666667,1159.45,1149.98,1087.48,1243.05,1204.5842857142857,87.83442298953588,3,22,173,25
2023-06-23,1071.02,Friday,6,2,0,0,1191.9771428571428,1198.3426666666667,1106.92,1113.73,1123.3,1276.58,1198.4828571428573,96.27533462493285,4,23,174,25
2023-06-24,1234.39,Saturday,6,2,1,0,1206.0014285714285,1200.086,1071.02,1334.15,1208.56,1191.56,1184.2314285714288,78.60838280755404,5,24,175,25
2023-06-25,1337.38,Sunday,6,2,1,0,1207.2185714285715,1202.0366666666666,1234.39,1302.59,1372.32,1161.51,1189.2014285714286,87.89055152642389,6,25,176,25
2023-06-26,1222.13,Monday,6,2,0,0,1224.4714285714285,1200.441,1337.38,1202.7,1316.55,1227.8,1191.9771428571428,88.69107578448609,0,26,177,26
2023-06-27,1310.72,Tuesday,6,2,0,0,1223.77,1196.111,1222.13,1212.55,1234.35,1299.7,1206.0014285714285,99.57953361150908,1,27,178,26
2023-06-28,1167.97,Wednesday,6,2,0,0,1212.9314285714286,1190.6756666666665,1310.72,1159.45,1266.87,1317.86,1207.2185714285715,98.96589066080124,2,28,179,26
2023-06-29,1227.69,Thursday,6,2,0,0,1196.6285714285714,1182.5643333333333,1167.97,1106.92,1149.98,1323.74,1224.4714285714285,88.54484126297642,3,29,180,26
2023-06-30,1066.11,Friday,6,2,0,0,1197.232857142857,1183.8406666666665,1227.69,1071.02,1113.73,1265.1,1223.77,89.9710051442499,4,30,181,26
2023-07-01,1158.52,Saturday,7,3,1,0,1182.5042857142857,1184.9209999999998,1066.11,1234.39,1334.15,1180.88,1212.9314285714286,92.99744287319051,5,1,182,26
2023-07-02,1223.26,Sunday,7,3,1,0,1186.7414285714287,1187.6113333333333,1158.52,1337.38,1302.59,1073.17,1196.6285714285714,75.99330747475263,6,2,183,26
2023-07-03,1226.36,Monday,7,3,0,0,1167.9385714285713,1182.2013333333334,1223.26,1222.13,1202.7,1285.79,1197.232857142857,76.24628465577477,0,3,184,27
2023-07-04,1207.62,Tuesday,7,3,0,0,1160.1957142857143,1178.2396666666668,1226.36,1310.72,1212.55,1364.68,1182.5042857142857,58.58188140177221,1,4,185,27
2023-07-05,1197.63,Wednesday,7,3,0,0,1157.5185714285715,1173.7146666666667,1207.62,1167.97,1159.45,1240.14,1186.7414285714287,58.42786020058353,2,5,186,27
2023-07-06,1096.07,Thursday,7,3,0,0,1151.5985714285714,1168.3826666666666,1197.63,1227.69,1106.92,1386.06,1167.9385714285713,63.96949726980998,3,6,187,27
2023-07-07,1011.91,Friday,7,3,0,0,1142.217142857143,1163.2693333333334,1096.07,1066.11,1071.02,1259.95,1160.1957142857143,79.69606198073983,4,7,188,27
2023-07-08,1139.78,Saturday,7,3,1,0,1147.1885714285713,1166.3349999999998,1011.91,1158.52,1234.39,1087.48,1157.5185714285715,80.0755866725446,5,8,189,27
